0,Q0010,
1,Q0017,
2,Q0032,
3,Q0045,COX1
4,Q0050,AI1
5,Q0055,AI2
6,Q0060,AI3
7,Q0065,AI4
8,Q0070,AI5_ALPHA
9,Q0075,AI5_BETA
10,Q0080,ATP8
11,Q0085,ATP6
12,Q0092,
13,Q0105,COB
14,Q0110,BI2
15,Q0115,BI3
16,Q0120,BI4
17,Q0130,OLI1
18,Q0140,VAR1
19,Q0142,
20,Q0143,
21,Q0160,SCEI
22,Q0182,
23,Q0250,COX2
24,Q0255,
25,Q0275,COX3
26,Q0297,
27,YAL001C,TFC3
28,YAL002W,VPS8
29,YAL003W,EFB1
30,YAL004W,
31,YAL005C,SSA1
32,YAL007C,ERP2
33,YAL008W,FUN14
34,YAL009W,SPO7
35,YAL010C,MDM10
36,YAL011W,SWC3
37,YAL012W,CYS3
38,YAL013W,DEP1
39,YAL014C,SYN8
40,YAL015C,NTG1
41,YAL016C-A,
42,YAL016C-B,
43,YAL016W,TPD3
44,YAL017W,PSK1
45,YAL018C,LDS1
46,YAL019W,FUN30
47,YAL019W-A,
48,YAL020C,ATS1
49,YAL021C,CCR4
50,YAL022C,FUN26
51,YAL023C,PMT2
52,YAL024C,LTE1
53,YAL025C,MAK16
54,YAL026C,DRS2
55,YAL026C-A,
56,YAL027W,SAW1
57,YAL028W,FRT2
58,YAL029C,MYO4
59,YAL030W,SNC1
60,YAL031C,GIP4
61,YAL031W-A,
62,YAL032C,PRP45
63,YAL033W,POP5
64,YAL034C,FUN19
65,YAL034W-A,MTW1
66,YAL035W,FUN12
67,YAL036C,RBG1
68,YAL037C-A,
69,YAL037W,
70,YAL038W,CDC19
71,YAL039C,CYC3
72,YAL040C,CLN3
73,YAL041W,CDC24
74,YAL042C-A,
75,YAL042W,ERV46
76,YAL043C,PTA1
77,YAL044C,GCV3
78,YAL044W-A,BOL1
79,YAL045C,
80,YAL046C,BOL3
81,YAL047C,SPC72
82,YAL047W-A,
83,YAL048C,GEM1
84,YAL049C,AIM2
85,YAL051W,OAF1
86,YAL053W,FLC2
87,YAL054C,ACS1
88,YAL055W,PEX22
89,YAL056W,GPB2
90,YAL058W,CNE1
91,YAL059C-A,
92,YAL059W,ECM1
93,YAL060W,BDH1
94,YAL061W,BDH2
95,YAL062W,GDH3
96,YAL063C,FLO9
97,YAL063C-A,
98,YAL064C-A,TDA8
99,YAL064W,
100,YAL064W-B,
101,YAL065C,
102,YAL066W,
103,YAL067C,SEO1
104,YAL067W-A,
105,YAL068C,PAU8
106,YAL068W-A,
107,YAL069W,
108,YAR002C-A,ERP1
109,YAR002W,NUP60
110,YAR003W,SWD1
111,YAR007C,RFA1
112,YAR008W,SEN34
113,YAR009C,
114,YAR010C,
115,YAR014C,BUD14
116,YAR015W,ADE1
117,YAR018C,KIN3
118,YAR019C,CDC15
119,YAR019W-A,
120,YAR020C,PAU7
121,YAR023C,
122,YAR027W,UIP3
123,YAR028W,
124,YAR029W,
125,YAR030C,
126,YAR031W,PRM9
127,YAR033W,MST28
128,YAR035C-A,
129,YAR035W,YAT1
130,YAR042W,SWH1
131,YAR047C,
132,YAR050W,FLO1
133,YAR053W,
134,YAR060C,
135,YAR064W,
136,YAR066W,
137,YAR068W,
138,YAR070C,
139,YAR071W,PHO11
140,YAR073W,IMD1
141,YAR075W,
142,YBL001C,ECM15
143,YBL002W,HTB2
144,YBL003C,HTA2
145,YBL004W,UTP20
146,YBL005W,PDR3
147,YBL005W-A,
148,YBL005W-B,
149,YBL006C,LDB7
150,YBL006W-A,
151,YBL007C,SLA1
152,YBL008W,HIR1
