YNR031C,Ssk2
YOR231W,Mkk1
YLR006C,Ssk1
YGR040W,Kss1
YHL007C,Ste20
YML004C,Glo1
YKL178C,Ste3
YNL098C,Ras2
YER111C,Swi4
YFL026W,Ste2
YNL271C,Bni1
YNL053W,Msg5
YHR030C,Slt2
YJL128C,Pbs2
YDL159W,Ste7
YDR103W,Ste5
YOR212W,Ste4
YPL089C,Rlm1
YBR200W,Bem1
YBR083W,Tec1
YHR005C,GPA1
YAL041W,Cdc24
YIL147C,Sln1
YPR165W,Rho1
YLR229C,Cdc42
YLR342W,Fks1
YHR084W,Ste12
YLR362W,Ste11
YKR095W,Mlp1
YJR086W,Ste18
YBL105C,Pkc1
YCL027W,Fus1
YLR332W,Mid2
YMR037C,Msn2
YDL235C,Ypd1
YGR088W,Ctt1
YPL049C,Dig1
YER118C,Sho1
YLR113W,Hog1
YJL157C,Far1
YMR043W,Mcm1
YGR032W,Fks2
YOR008C,Wsc1
YML032C,3
